row_id	field	category	before	after
test-00000-of-00003.parquet#2	reason_zh[0]	R1 语义反转(PPE)	左侧人员不得使用PPE。	左侧人员未使用个人防护装备（PPE，Personal Protective Equipment）。
test-00000-of-00003.parquet#11	reason_zh[0]	R2 硬帽→安全帽	左侧戴黑硬帽、穿白衬衫的工人未佩戴安全帽。	左侧戴黑安全帽、穿白衬衫的工人未佩戴安全帽。
test-00000-of-00003.parquet#37	reason_zh[0]	R2 硬帽→安全帽	左侧穿着棕色夹克的工人没有戴硬帽。	左侧穿着棕色夹克的工人没有戴安全帽。
test-00000-of-00003.parquet#44	reason_zh[0]	R2 硬帽→安全帽	右侧穿绿色夹克的工人没有戴硬帽。	右侧穿绿色夹克的工人没有戴安全帽。
test-00000-of-00003.parquet#73	caption_zh	R2 硬帽→安全帽	两人站在类似运河的结构的地方，他们正在检查一顶白色硬帽。	两人站在类似运河的结构的地方，他们正在检查一顶白色安全帽。
test-00000-of-00003.parquet#113	reason_zh[0]	R2 硬帽→安全帽	中间的工人没有戴硬帽，他还穿着短裤。	中间的工人没有戴安全帽，他还穿着短裤。
test-00000-of-00003.parquet#116	reason_zh[0]	R2 硬帽→安全帽	中间的工人没有戴硬帽。	中间的工人没有戴安全帽。
test-00000-of-00003.parquet#157	reason_zh[0]	R2 硬帽→安全帽	戴白色硬帽的工人在左侧，离挖掘机太近了。	戴白色安全帽的工人在左侧，离挖掘机太近了。
test-00000-of-00003.parquet#177	reason_zh[0]	R2 硬帽→安全帽	右侧戴着白色硬帽的工人佩戴着一条发带。	右侧戴着白色安全帽的工人佩戴着一条发带。
test-00000-of-00003.parquet#211	reason_zh[0]	R2 硬帽→安全帽	左侧穿着白色汗衫的工人没有戴硬帽。	左侧穿着白色汗衫的工人没有戴安全帽。
test-00000-of-00003.parquet#292	reason_zh[0]	R2 硬帽→安全帽	左侧穿灰色卫衣的工人没有戴硬帽。	左侧穿灰色卫衣的工人没有戴安全帽。
test-00000-of-00003.parquet#304	caption_zh	R3 缩写展开(SUV)	画面中央有一台挖掘机。挖掘机前方有三名工人，其中两人戴着安全帽。背景中有一些黑色管道和混凝土管道。画面左侧有两辆SUV，还能看到一辆自卸卡车。画面右侧有两台塔式起重机。	画面中央有一台挖掘机。挖掘机前方有三名工人，其中两人戴着安全帽。背景中有一些黑色管道和混凝土管道。画面左侧有两辆运动型多用途汽车（SUV，Sport Utility Vehicle），还能看到一辆自卸卡车。画面右侧有两台塔式起重机。
test-00000-of-00003.parquet#304	reason_zh[0]	R2 硬帽→安全帽	穿灰色卫衣的工人没有戴硬帽。	穿灰色卫衣的工人没有戴安全帽。
test-00000-of-00003.parquet#403	caption_zh	R3 缩写展开(SUV)	九人站在建筑工地前。一辆SUV停在人群后面。背景中可见四座塔吊以及六座在建建筑物。建筑物覆盖着绿色织物。	九人站在建筑工地前。一辆运动型多用途汽车（SUV，Sport Utility Vehicle）停在人群后面。背景中可见四座塔吊以及六座在建建筑物。建筑物覆盖着绿色织物。
test-00000-of-00003.parquet#403	reason_zh[0]	R3 缩写展开(SUV)	右侧的三人及SUV车附近的的两人都未佩戴安全帽。	右侧的三人及运动型多用途汽车（SUV，Sport Utility Vehicle）车附近的的两人都未佩戴安全帽。
test-00000-of-00003.parquet#403	reason_zh[1]	R3 缩写展开(SUV)	右侧的三人及SUV车附近的的两人都未佩戴安全帽。	右侧的三人及运动型多用途汽车（SUV，Sport Utility Vehicle）车附近的的两人都未佩戴安全帽。
test-00000-of-00003.parquet#426	reason_zh[0]	R2 硬帽→安全帽	左侧蹲着的人没有戴硬帽。	左侧蹲着的人没有戴安全帽。
test-00000-of-00003.parquet#434	reason_zh[0]	R2 硬帽→安全帽	右侧的人没有戴硬帽。	右侧的人没有戴安全帽。
test-00000-of-00003.parquet#439	reason_zh[0]	R2 硬帽→安全帽	中间那个人没戴硬帽，穿着短裤和夹脚鞋。	中间那个人没戴安全帽，穿着短裤和夹脚鞋。
test-00000-of-00003.parquet#460	reason_zh[0]	R2 硬帽→安全帽	左侧的人没有戴硬帽。	左侧的人没有戴安全帽。
test-00000-of-00003.parquet#466	reason_zh[0]	R2 硬帽→安全帽	工人在混凝土管堆后面，没有戴硬帽。	工人在混凝土管堆后面，没有戴安全帽。
test-00000-of-00003.parquet#487	caption_zh	R2 硬帽→安全帽	挖掘机位于一台带有极的构建设备件的前方。一名戴着白色硬帽的工人位于蓝色挖掘机前方。	挖掘机位于一台带有极的构建设备件的前方。一名戴着白色安全帽的工人位于蓝色挖掘机前方。
test-00000-of-00003.parquet#487	reason_zh[0]	R2 硬帽→安全帽	戴白色硬帽的工人离挖掘机太近，正处于盲区。	戴白色安全帽的工人离挖掘机太近，正处于盲区。
test-00000-of-00003.parquet#540	reason_zh[0]	R2 硬帽→安全帽	右侧的工人戴着一顶白色硬帽，穿着短裤。	右侧的工人戴着一顶白色安全帽，穿着短裤。
test-00000-of-00003.parquet#559	reason_zh[0]	R2 硬帽→安全帽	前景右侧的人没有戴硬帽。	前景右侧的人没有戴安全帽。
test-00000-of-00003.parquet#592	reason_zh[0]	R2 硬帽→安全帽	左侧的工人没有戴硬帽。	左侧的工人没有戴安全帽。
test-00000-of-00003.parquet#640	reason_zh[0]	R2同源 残留英文/错译	两名工人在Form沃克和另一名工人在厄尔顿路上，背景中均未佩戴安全帽。	两名工人在模板（formwork）上，另一名工人在背景中的土路上，均未佩戴安全帽。
test-00000-of-00003.parquet#640	reason_zh[1]	R2同源 残留英文/错译	两名工人在Form沃克和另一名工人在厄尔顿路上，背景中均未佩戴安全帽。	两名工人在模板（formwork）上，另一名工人在背景中的土路上，均未佩戴安全帽。
test-00000-of-00003.parquet#640	reason_zh[2]	R2同源 残留英文/错译	两名工人在Form沃克和另一名工人在厄尔顿路上，背景中均未佩戴安全帽。	两名工人在模板（formwork）上，另一名工人在背景中的土路上，均未佩戴安全帽。
test-00000-of-00003.parquet#640	reason_zh[3]	R2同源 残留英文/错译	两名工人在Form沃克和另一名工人在厄尔顿路上，背景中均未佩戴安全帽。	两名工人在模板（formwork）上，另一名工人在背景中的土路上，均未佩戴安全帽。
test-00000-of-00003.parquet#649	reason_zh[0]	R2 硬帽→安全帽	左侧蹲着的人没有戴硬帽。	左侧蹲着的人没有戴安全帽。
test-00000-of-00003.parquet#679	reason_zh[0]	R2 硬帽→安全帽	左侧穿着灰色卫衣的工人没有戴硬帽。	左侧穿着灰色卫衣的工人没有戴安全帽。
test-00000-of-00003.parquet#751	caption_zh	R3 缩写展开(SUV)	画面中央有五人以及一辆SUV。背景中有三座塔吊。	画面中央有五人以及一辆运动型多用途汽车（SUV，Sport Utility Vehicle）。背景中有三座塔吊。
test-00000-of-00003.parquet#751	reason_zh[0]	R3 缩写展开(SUV)	SUV车前排中间的一组工人未佩戴安全帽。	运动型多用途汽车（SUV，Sport Utility Vehicle）车前排中间的一组工人未佩戴安全帽。
test-00000-of-00003.parquet#760	reason_zh[0]	R2 硬帽→安全帽	背景中的人没有戴硬帽。	背景中的人没有戴安全帽。
test-00000-of-00003.parquet#819	reason_zh[0]	R2 硬帽→安全帽	背景中的人没有戴硬帽。	背景中的人没有戴安全帽。
test-00000-of-00003.parquet#851	reason_zh[0]	R2 硬帽→安全帽	左侧的人没有戴硬帽。	左侧的人没有戴安全帽。
test-00000-of-00003.parquet#883	reason_zh[0]	R2 硬帽→安全帽	图像中的一些工人要么戴着草帽，要么没戴硬帽。	图像中的一些工人要么戴着草帽，要么没戴安全帽。
test-00000-of-00003.parquet#933	reason_zh[0]	R2 硬帽→安全帽	下一个走向混凝土管堆的人没有戴硬帽。	下一个走向混凝土管堆的人没有戴安全帽。
test-00000-of-00003.parquet#961	reason_zh[0]	R2 硬帽→安全帽	左侧的工人没有戴硬帽，而是戴了一顶草帽。右侧工人的穿的裤子没有盖住他的脚踝。	左侧的工人没有戴安全帽，而是戴了一顶草帽。右侧工人的穿的裤子没有盖住他的脚踝。
test-00000-of-00003.parquet#970	reason_zh[0]	R2 硬帽→安全帽	左侧的工人没有戴硬帽。	左侧的工人没有戴安全帽。
test-00001-of-00003.parquet#1012	reason_zh[0]	R2 硬帽→安全帽	此人未戴硬帽。	此人未戴安全帽。
test-00001-of-00003.parquet#1088	reason_zh[0]	R2 硬帽→安全帽	左侧的工人没有戴硬帽。	左侧的工人没有戴安全帽。
test-00001-of-00003.parquet#1096	caption_zh	R2 硬帽→安全帽	装载机上装着一整斗的岩石。两名工人和一台挖掘机的在装载机的右侧。七名工人在装载机左侧。背景中有一名戴着红色硬帽的工人。	装载机上装着一整斗的岩石。两名工人和一台挖掘机的在装载机的右侧。七名工人在装载机左侧。背景中有一名戴着红色安全帽的工人。
test-00001-of-00003.parquet#1147	reason_zh[0]	R2 硬帽→安全帽	穿灰色卫衣的工人没有戴硬帽。	穿灰色卫衣的工人没有戴安全帽。
test-00001-of-00003.parquet#1166	reason_zh[0]	R2 硬帽→安全帽	右侧的人没有戴硬帽。	右侧的人没有戴安全帽。
test-00001-of-00003.parquet#1246	reason_zh[0]	R2 硬帽→安全帽	中间蹲着的的女工未戴硬帽。戴红色硬帽的女工穿着短裤。	中间蹲着的的女工未戴安全帽。戴红色安全帽的女工穿着短裤。
test-00001-of-00003.parquet#1282	reason_zh[0]	R2 硬帽→安全帽	左侧的人没有戴硬帽。	左侧的人没有戴安全帽。
test-00001-of-00003.parquet#1288	reason_zh[0]	R2 硬帽→安全帽	左侧SUV与绿色卡车之间的那个人没有戴硬帽。	左侧运动型多用途汽车（SUV，Sport Utility Vehicle）与绿色卡车之间的那个人没有戴安全帽。
test-00001-of-00003.parquet#1301	caption_zh	R2 硬帽→安全帽	三名戴白色安全帽的工人位于基坑下层。一名戴硬帽的工人正在操作一台架设在三脚架上的设备。基坑左侧有一堆金属管。坑边岸上还有另外两名工人。戴硬帽的工人站立着，而没戴硬帽的工人正蹲着。	三名戴白色安全帽的工人位于基坑下层。一名戴安全帽的工人正在操作一台架设在三脚架上的设备。基坑左侧有一堆金属管。坑边岸上还有另外两名工人。戴安全帽的工人站立着，而没戴安全帽的工人正蹲着。
test-00001-of-00003.parquet#1310	reason_zh[0]	R2 硬帽→安全帽	中间的工人没有戴硬帽。	中间的工人没有戴安全帽。
test-00001-of-00003.parquet#1355	reason_zh[0]	R2 硬帽→安全帽	左侧上方的那名工人没有戴硬帽。	左侧上方的那名工人没有戴安全帽。
test-00001-of-00003.parquet#1368	reason_zh[0]	R2 硬帽→安全帽	没有工人戴着硬帽。右边的工人戴着草帽穿着短裤。	没有工人戴着安全帽。右边的工人戴着草帽穿着短裤。
test-00001-of-00003.parquet#1368	reason_zh[1]	R2 硬帽→安全帽	没有工人戴着硬帽。右边的工人戴着草帽穿着短裤。	没有工人戴着安全帽。右边的工人戴着草帽穿着短裤。
